Model,MTOW (kg)
Avro 146 RJ85,"42,000"
2000 AIRBUS INDUSTRIE A330-323,"212,000"
Airbus A330 202,"230,000"
1993 BOEING 767-328,"187,000"
2002 BOEING 777-224,"297,550"
 BOEING 777-323ER,"351,500"
Boeing 737NG 8BK/W,"79,000"
BAe 146 100QC,"84,600"
2006 EMBRAER ERJ 170-100SU,"20,000"
2012 EMBRAER ERJ 190-100 IGW,"22,800"
2002 BOEING 737-8EQ,"75,000"
2002 EMBRAER EMB-145LR,"22,000"
Boeing 777 336ER,"351,500"
Bombardier Challenger 350,"43,000"
Boeing 737 530,"60,555"
 BOMBARDIER INC CL-600-2B19,"53,000"
2000 AIRBUS INDUSTRIE A320-232,"73,500"
 AIRBUS A320-232,"72,000"
Airbus A320 251NSL,"68,000"
1999 BOEING 737-7H4,"72,000"
2004 EMBRAER EMB-145LR,"22,000"
BAe 146 200QT,"89,500"
Embraer EMB-190 STD,"48,000"
Airbus A330 203,"230,000"
Boeing 747 406ERF,"396,900"
 BOEING 737-990ER,"85,000"
Boeing 737 38J,"63,000"
SAAB 340 B,"25,000"
Boeing 777 228ER,"297,550"
2015 AIRBUS A321-231,"83,000"
Bombardier CRJ 900 LR,"36,000"
Boeing 737NG 7K2/W,"70,000"
Boeing 787 9,"254,000"
2004 AIRBUS A330-323,"212,000"
Boeing 767 3Z9ER/W,"187,000"
Boeing 777 312ER,"351,500"
1999 BOEING 767-332,"187,000"
Bombardier C Series 300,"25,000"
1990 BOEING 767-332,"185,000"
1990 BOEING 767-3P6,"204,000"
Airbus A350 941,"270,000"
Boeing 777 F1B,"347,800"
Boeing 737NG 9K2/W,"66,000"
Airbus A330 302,"212,000"
Airbus A330 223,"230,000"
Boeing 777 35RER,"351,500"
2000 BOEING 777-223,"351,500"
2014 BOEING 777-323ER,"347,450"
1992 BOEING 767-322,"187,000"
Boeing 737NG 85P/W,"79,000"
Boeing 777 328ER,"351,500"
BOEING 737-8H4,"75,000"
Boeing 747 406,"412,770"
2000 BOEING 777-224,"347,450"
Boeing 737 36M,"66,000"
787-9,"254,000"
Boeing 737NG 86N/W,"79,000"
 BOEING 787-9,"254,000"
Boeing 737NG 73V/W,"70,000"
Boeing 747 406 SCD,"412,770"
Boeing 777 236,"347,450"
Airbus A330 323E,"212,000"
2005 AIRBUS A320-232,"70,000"
Boeing 777 3F2ER,"351,500"
Airbus A330 243,"230,000"
Boeing 767 375ER,"187,000"
Airbus A380 842,"589,670"
Embraer ERJ-170-200 LR,"22,000"
2015 BOEING 737-932ER,"85,000"
2001 BOEING 767-424ER,"204,000"
Boeing 737NG 932ER/W,"85,000"
Boeing 747 430,"396,900"
Avions de Transport Regional ATR 42 300,"22,800"
Boeing 747 8HTF,"443,613"
Boeing 737NG 783/W,"70,000"
Boeing 737 484SF,680+B2:B23700
